00501	0001	NY-01
00601	0001	PR-00
00803	0001	VI-00
01001	0001	MA-01
01002	0001	MA-02
01432	0001	MA-03
02021	0001	MA-04
01701	0001	MA-05
01803	0001	MA-06
02018	0001	MA-08
02714	0001	MA-09
02111	1000	MA-07
02801	0001	RI-01
02804	0001	RI-02
03032	0001	NH-01
03031	0001	NH-02
03901	0001	ME-01
04010	0001	ME-02
05001	0001	VT-00
06002	0021	CT-01
06001	0001	CT-05
06029	0001	CT-02
06401	0001	CT-03
06468	0001	CT-04
07004	0001	NJ-11
07001	0001	NJ-06
07003	0001	NJ-08
07003	0001	NJ-10
07010	0001	NJ-09
07033	0001	NJ-07
07061	0001	NJ-12
07401	0001	NJ-05
07702	0001	NJ-04
08003	0001	NJ-03
08001	0001	NJ-02
08002	0011	NJ-01
10004	0003	NY-10
10021	0002	NY-12
11201	1112	NY-07
10025	0001	NY-13
10301	0001	NY-11
10452	0001	NY-15
10461	0001	NY-14
10470	0001	NY-16
10501	0001	NY-18
10502	0001	NY-17
12015	0001	NY-19
11002	0001	NY-04
11005	1001	NY-03
11405	0001	NY-05
11201	1112	NY-08
11225	0001	NY-09
11374	0001	NY-06
11705	0001	NY-02
12007	0001	NY-20
12032	0001	NY-21
13020	0001	NY-24
13502	0001	NY-22
14029	0001	NY-23
14006	0001	NY-27
14301	0001	NY-26
14615	0100	NY-25
15004	0001	PA-18
15001	0001	PA-12
15034	0003	PA-14
15012	0001	PA-09
16001	0101	PA-03
15711	0001	PA-05
16910	8801	PA-10
17001	0001	PA-04
17003	0001	PA-15
17839	0131	PA-11
17501	0001	PA-16
18056	0001	PA-06
19008	0001	PA-07
17981	0001	PA-17
18039	0001	PA-08
18936	0001	PA-13
19104	0001	PA-02
19016	0001	PA-01
19701	0001	DE-00
20001	0001	DC-00
20101	9300	VA-10
20128	0001	VA-05
22433	0001	VA-07
22560	0001	VA-01
20122	0001	VA-11
20601	1700	MD-05
20724	1300	MD-02
20712	0001	MD-04
20724	1300	MD-03
21020	1000	MD-07
21775	0001	MD-08
20885	0001	MD-06
21911	0001	MD-01
22311	0001	VA-08
22626	0041	VA-06
23002	0001	VA-04
23030	0001	VA-03
23301	0001	VA-02
24053	0001	VA-09
24701	0001	WV-03
25005	0001	WV-02
25267	0001	WV-01
27006	0001	NC-05
27027	0001	NC-06
28010	0001	NC-09
27406	0001	NC-12
27207	0001	NC-02
27229	0001	NC-08
27228	0001	NC-04
28578	0001	NC-07
28551	0001	NC-13
27532	0001	NC-01
27858	0001	NC-03
28006	0001	NC-10
28652	0001	NC-11
29001	0101	SC-06
29002	0001	SC-02
29009	0001	SC-05
29105	0001	SC-03
29570	0001	SC-07
29301	0020	SC-04
29401	1100	SC-01
30002	0001	GA-04
30017	0001	GA-07
30006	0001	GA-06
30061	0001	GA-11
30272	0001	GA-13
30017	0001	GA-10
30148	0001	GA-09
30331	0001	GA-05
30721	0001	GA-14
30170	0001	GA-03
31055	0001	GA-08
30401	0001	GA-12
31006	0001	GA-02
31525	0001	GA-01
32004	0001	FL-06
32006	0005	FL-03
32007	0001	FL-05
32009	0001	FL-04
32163	3608	FL-11
34797	0001	FL-10
32427	0001	FL-02
32422	0001	FL-01
32810	0001	FL-07
32815	0001	FL-08
33838	0001	FL-09
33001	0001	FL-26
33008	0001	FL-23
33002	2001	FL-25
33111	0001	FL-24
33122	0001	FL-27
33063	1200	FL-20
33061	0001	FL-22
33063	1200	FL-21
34992	0001	FL-18
33503	0001	FL-17
33586	7001	FL-14
33530	0001	FL-15
34653	0001	FL-12
34201	0001	FL-16
33702	0001	FL-13
33901	0200	FL-19
35004	0001	AL-03
35013	0101	AL-06
35020	0400	AL-07
35070	0001	AL-04
36003	0001	AL-02
35602	0001	AL-05
36425	0001	AL-01
37011	0001	TN-05
37012	0001	TN-06
37023	0001	TN-07
37111	0001	TN-04
37302	0001	TN-03
37501	0001	TN-09
37601	0200	TN-01
37928	0001	TN-02
38253	0001	TN-08
38802	0001	MS-01
39041	0001	MS-02
39042	1900	MS-03
39322	0001	MS-04
40006	0001	KY-04
40004	0001	KY-02
41064	0001	KY-06
40442	0001	KY-01
40025	0001	KY-03
40313	0001	KY-05
43001	0001	OH-12
43125	0001	OH-03
43005	0001	OH-07
43007	0151	OH-04
43010	0001	OH-08
43029	0001	OH-15
43711	0001	OH-06
45066	0001	OH-10
43403	0001	OH-05
44017	0001	OH-09
44003	0001	OH-14
44017	0001	OH-16
44101	0001	OH-11
44211	1000	OH-13
45001	0031	OH-01
45236	0001	OH-02
46001	0001	IN-05
46001	0001	IN-06
46035	0001	IN-04
47112	0001	IN-09
46107	0001	IN-07
47527	0001	IN-08
46301	0001	IN-01
46502	0001	IN-02
46732	0001	IN-03
48001	0001	MI-10
48007	0500	MI-11
48015	0001	MI-09
48278	0001	MI-14
48114	1600	MI-08
48101	0001	MI-12
48101	0001	MI-13
48115	0001	MI-07
48411	0001	MI-05
48417	0001	MI-04
49948	0001	MI-01
48815	0011	MI-03
49001	0100	MI-06
49303	0001	MI-02
50002	0001	IA-03
