60001	1000	IL-14
60006	0001	IL-09
60009	0001	IL-08
60094	0001	IL-06
60088	0001	IL-10
60688	0001	IL-05
60104	0001	IL-07
60460	0001	IL-16
60161	1000	IL-04
60401	0001	IL-02
60415	0001	IL-03
60599	0001	IL-11
60469	0001	IL-01
61957	0011	IL-15
61037	0001	IL-17
62675	0001	IL-18
62640	0001	IL-13
62865	0001	IL-12
63011	0001	MO-02
63013	0091	MO-03
63601	0001	MO-08
63031	0001	MO-01
63541	0001	MO-06
64001	0011	MO-05
64762	0001	MO-04
64801	1000	MO-07
66002	0001	KS-02
66018	0001	KS-03
67524	0001	KS-01
66842	0001	KS-04
68001	0151	NE-01
68179	0001	NE-02
68303	0001	NE-03
70402	0001	LA-01
70114	0001	LA-02
70769	0001	LA-06
70501	1000	LA-03
71465	0001	LA-05
70576	0161	LA-04
71601	2400	AR-04
72003	0001	AR-01
72001	0001	AR-02
72601	1200	AR-03
73001	0001	OK-03
73002	0001	OK-04
73008	0001	OK-05
73301	0001	TX-35
73432	0001	OK-02
74005	0001	OK-01
75001	0001	TX-24
75013	0001	TX-03
75326	0001	TX-33
75020	0002	TX-04
75065	0001	TX-26
75360	0001	TX-32
75101	0001	TX-06
75115	1400	TX-30
75880	0001	TX-05
75601	2701	TX-01
77841	0001	TX-17
77301	0001	TX-08
75928	0001	TX-36
76008	0001	TX-12
76009	0001	TX-25
76068	0001	TX-11
76351	0001	TX-13
79356	0001	TX-19
76513	0001	TX-31
76943	0001	TX-23
77001	0001	TX-18
77011	0001	TX-29
77045	1000	TX-09
77345	0001	TX-02
77227	0001	TX-07
77404	0001	TX-27
77442	0001	TX-10
77461	0001	TX-22
77565	0001	TX-14
78162	0001	TX-34
78004	1800	TX-21
78584	0001	TX-28
78539	0001	TX-15
78226	0001	TX-20
79821	0002	TX-16
80001	0001	CO-07
80015	1000	CO-06
80535	0001	CO-02
81090	0001	CO-04
80132	0001	CO-05
80237	0001	CO-01
80428	0661	CO-03
82001	1000	WY-00
83201	1800	ID-02
